Order_Detail_ID,Order_ID,Menu_Item_ID,Quantity
1,1,78,1
2,1,37,2
3,2,57,3
4,2,47,1
5,3,56,2
6,3,39,1
7,4,52,3
8,4,54,1
9,5,2,2
10,5,73,1
11,5,5,2
12,6,22,2
13,6,66,2
14,6,24,3
15,7,16,3
16,7,79,3
17,7,59,3
18,8,49,1
19,8,8,3
20,8,71,3
21,9,36,1
22,9,33,2
23,10,2,3
24,10,51,3
25,11,71,3
26,11,69,2
27,12,7,3
28,12,29,3
29,12,9,1
30,13,47,3
31,13,71,1
32,14,27,2
33,14,39,1
34,14,32,1
35,15,5,2
36,15,80,1
37,16,5,3
38,16,35,3
39,17,54,1
40,17,34,1
41,17,31,2
42,18,58,1
43,18,5,1
44,19,66,1
45,19,74,3
46,19,62,1
47,20,15,2
48,20,68,1
49,21,20,3
50,21,43,3
51,21,5,1
52,22,64,2
53,22,63,1
54,23,5,2
55,23,17,2
56,23,76,3
57,24,12,1
58,24,3,2
59,24,62,1
60,25,63,2
61,25,14,3
62,26,51,1
63,26,22,3
64,26,63,2
65,27,63,2
66,27,59,3
67,28,9,2
68,28,13,3
69,28,62,1
70,29,10,3
71,29,30,3
72,30,2,1
73,30,33,3
74,31,18,1
75,31,72,1
76,32,21,2
77,32,55,2
78,33,1,2
79,33,5,1
80,34,75,2
81,34,45,3
82,35,19,3
83,35,2,2
84,36,17,1
85,36,11,2
86,37,8,3
87,37,79,2
88,37,79,1
89,38,65,1
90,38,68,2
91,38,20,1
92,39,40,2
93,39,42,1
94,40,6,1
95,40,47,2
96,40,74,2
97,41,23,3
98,41,26,1
99,42,79,1
100,42,24,3
101,42,54,3
102,43,56,1
103,43,4,2
104,44,11,2
105,44,69,2
106,44,20,2
107,45,44,1
108,45,52,2
109,45,50,3
110,46,10,2
111,46,26,1
112,46,3,1
113,47,25,3
114,47,49,2
115,47,10,1
116,48,6,3
117,48,24,2
118,48,78,3
119,49,70,1
120,49,17,1
121,50,65,1
122,50,13,3
123,50,4,2
124,51,24,1
125,51,58,1
126,52,17,2
127,52,27,2
128,53,64,3
129,53,58,1
130,54,24,2
131,54,77,1
132,54,2,1
133,55,17,3
134,55,72,1
135,56,57,3
136,56,78,3
137,56,31,2
138,57,26,1
139,57,24,2
140,58,33,2
141,58,32,2
142,58,44,1
143,59,53,3
144,59,68,3
145,60,68,1
146,60,3,3
147,61,60,1
148,61,36,1
149,62,71,1
150,62,37,3
151,63,34,3
152,63,64,1
153,63,29,2
154,64,72,3
155,64,80,3
156,64,44,3
157,65,49,3
158,65,60,1
159,65,4,2
160,66,42,1
161,66,76,1
162,67,70,1
163,67,61,1
164,68,58,2
165,68,70,2
166,68,8,3
167,69,75,3
168,69,51,2
169,70,29,2
170,70,29,2
171,71,33,3
172,71,33,2
173,71,10,2
174,72,52,3
175,72,18,3
176,72,68,1
177,73,65,3
178,73,26,2
179,73,54,3
180,74,62,2
181,74,48,2
182,75,35,3
183,75,63,3
184,75,34,3
185,76,58,1
186,76,2,2
187,77,3,3
188,77,44,1
189,78,65,2
190,78,62,3
191,78,25,3
192,79,47,1
193,79,13,1
194,79,47,3
195,80,15,2
196,80,3,2
197,81,13,1
198,81,74,1
199,81,58,3
200,82,36,3
201,82,76,1
202,82,6,1
203,83,30,1
204,83,16,2
205,84,54,1
206,84,11,1
207,84,5,3
208,85,37,2
209,85,14,3
210,85,30,3
211,86,18,1
212,86,12,3
213,87,29,3
214,87,50,3
215,87,12,2
216,88,45,3
217,88,66,2
218,88,8,2
219,89,69,3
220,89,29,2
221,89,25,2
222,90,71,2
223,90,30,2
224,90,42,1
225,91,41,2
226,91,70,2
227,92,68,1
228,92,3,1
229,93,51,3
230,93,25,2
231,94,32,3
232,94,39,3
233,95,52,1
234,95,60,1
235,95,53,2
236,96,43,1
237,96,2,1
238,97,35,2
239,97,32,3
240,97,48,3
241,98,42,3
242,98,56,1
243,99,74,2
244,99,7,1
245,99,35,1
246,100,43,1
247,100,47,2
248,101,45,3
249,101,22,1
250,101,14,2
251,102,36,3
252,102,8,1
253,102,69,2
254,103,21,3
255,103,67,3
256,104,16,3
257,104,45,1
258,105,43,1
259,105,59,2
260,106,48,1
261,106,5,3
262,107,61,1
263,107,31,2
264,107,62,1
265,108,12,3
266,108,69,3
267,108,5,3
268,109,38,3
269,109,65,1
270,109,23,3
271,110,13,3
272,110,39,2
273,111,45,1
274,111,63,3
275,111,24,3
276,112,33,2
277,112,36,1
278,113,16,1
279,113,41,3
280,114,38,1
281,114,38,1
282,114,39,1
283,115,34,3
284,115,78,3
285,115,42,3
286,116,80,3
287,116,5,2
288,117,55,3
289,117,16,1
290,118,65,3
291,118,77,3
292,119,8,2
293,119,28,2
294,119,61,1
295,120,45,1
296,120,52,2
297,120,19,3
298,121,51,3
299,121,66,1
300,122,27,2
301,122,63,1
302,122,56,1
303,123,76,3
304,123,57,2
305,123,3,3
306,124,10,1
307,124,80,3
308,125,34,1
309,125,59,2
310,126,50,2
311,126,23,2
312,127,69,1
313,127,43,3
314,127,5,3
315,128,62,1
316,128,29,3
317,129,30,2
318,129,27,2
319,130,21,1
320,130,49,1
321,130,52,2
322,131,17,1
323,131,57,3
324,131,60,2
325,132,23,2
326,132,72,3
327,132,20,1
328,133,61,2
329,133,15,1
330,134,61,2
331,134,57,2
332,135,70,2
333,135,49,2
334,135,55,3
335,136,16,1
336,136,8,2
337,137,71,2
338,137,52,3
339,137,1,3
340,138,35,3
341,138,54,3
342,138,44,2
343,139,55,3
344,139,52,3
345,139,26,2
346,140,13,1
347,140,45,2
348,141,14,3
349,141,77,2
350,142,10,3
351,142,37,1
352,143,4,3
353,143,32,1
354,144,71,1
355,144,61,1
356,144,3,2
357,145,71,3
358,145,24,1
359,145,11,2
360,146,70,1
361,146,12,3
362,147,73,3
363,147,32,1
364,147,31,1
365,148,68,2
366,148,64,1
367,148,47,1
368,149,52,3
369,149,54,2
370,150,6,2
371,150,19,1
372,151,63,1
373,151,31,2
374,151,60,2
375,152,24,3
376,152,60,3
377,153,37,1
378,153,50,2
379,154,71,2
380,154,3,3
381,155,36,3
382,155,35,2
383,156,63,2
384,156,72,1
385,157,10,3
386,157,23,3
387,158,69,2
388,158,71,2
389,158,55,3
390,159,35,1
391,159,28,1
392,159,30,1
393,160,14,1
394,160,44,1
395,161,40,1
396,161,63,3
397,161,56,3
398,162,15,1
399,162,61,1
400,163,21,1
401,163,45,1
402,163,30,1
403,164,68,1
404,164,29,2
405,165,54,1
406,165,49,1
407,165,61,3
408,166,68,1
409,166,25,1
410,166,6,3
411,167,17,2
412,167,55,1
413,168,21,2
414,168,10,2
415,169,35,3
416,169,40,3
417,169,35,2
418,170,76,3
419,170,12,1
420,171,30,3
421,171,31,1
422,172,74,1
423,172,10,1
424,172,4,3
425,173,42,2
426,173,6,2
427,174,58,1
428,174,62,2
429,174,31,2
430,175,26,1
431,175,64,1
432,176,11,1
433,176,30,3
434,177,13,1
435,177,49,1
436,178,74,3
437,178,77,2
438,179,67,2
439,179,44,2
440,180,67,1
441,180,41,2
442,180,26,1
443,181,23,2
444,181,78,1
445,182,14,3
446,182,14,3
447,183,53,2
448,183,80,1
449,184,14,2
450,184,18,3
451,184,50,3
452,185,67,2
453,185,7,1
454,186,36,1
455,186,69,1
456,187,44,3
457,187,23,1
458,187,38,1
459,188,30,2
460,188,29,2
461,188,48,3
462,189,36,1
463,189,52,2
464,190,15,1
465,190,38,2
466,191,43,2
467,191,8,3
468,192,58,2
469,192,24,2
470,193,43,1
471,193,65,3
472,194,26,1
473,194,65,1
474,194,2,2
475,195,42,3
476,195,79,1
477,195,63,3
478,196,47,2
479,196,79,1
480,197,48,1
481,197,36,1
482,197,25,2
483,198,74,3
484,198,54,3
485,198,66,2
486,199,42,2
487,199,39,1
488,200,38,3
489,200,38,2
490,201,20,3
491,201,79,2
492,202,80,1
493,202,5,2
494,202,65,2
495,203,40,2
496,203,49,3
497,204,34,3
498,204,74,3
499,204,65,3
500,205,52,2
501,205,24,2
502,205,63,3
503,206,14,2
504,206,17,2
505,207,2,3
506,207,58,3
507,208,22,1
508,208,35,2
509,209,73,1
510,209,70,2
511,210,16,3
512,210,51,2
513,210,70,3
514,211,46,3
515,211,17,1
516,212,78,3
517,212,57,1
518,213,67,2
519,213,57,1
520,213,27,2
521,214,74,2
522,214,45,3
523,215,53,2
524,215,49,1
525,215,59,3
526,216,58,3
527,216,50,2
528,216,32,1
529,217,7,2
530,217,70,1
531,217,38,3
532,218,9,2
533,218,72,2
534,218,18,3
535,219,33,3
536,219,31,1
537,220,26,3
538,220,70,1
539,220,25,3
540,221,20,2
541,221,80,3
542,221,17,2
543,222,18,3
544,222,77,2
545,223,1,1
546,223,76,2
547,224,59,2
548,224,22,2
549,224,10,1
550,225,54,1
551,225,29,3
552,225,71,3
553,226,36,2
554,226,78,1
555,227,40,3
556,227,42,1
557,227,68,1
558,228,52,1
559,228,18,2
560,228,34,2
561,229,39,3
562,229,41,2
563,230,46,1
564,230,39,1
565,231,67,1
566,231,51,2
567,231,52,2
568,232,56,3
569,232,12,2
570,232,68,2
571,233,29,2
572,233,18,2
573,234,60,1
574,234,3,2
575,234,35,1
576,235,27,3
577,235,28,1
578,235,32,1
579,236,21,3
580,236,30,2
581,237,66,2
582,237,28,1
583,237,75,1
584,238,13,2
585,238,54,2
586,238,73,1
587,239,62,1
588,239,6,2
589,240,58,2
590,240,45,1
591,241,14,3
592,241,16,3
593,241,52,1
594,242,5,3
595,242,53,2
596,243,20,2
597,243,52,3
598,243,30,1
599,244,5,1
600,244,40,1
601,245,57,3
602,245,56,1
603,245,42,1
604,246,76,3
605,246,56,2
606,246,63,3
607,247,62,1
608,247,17,3
609,248,9,2
